id_transaccion,fecha_emision,nombre,correo,telefono,direccion,ciudad,cantidad,monto,pago,estado_pago,ip,timestamp,observaciones
1b020f51-252b-4450-a5ac-47f27fdd6fe6,2025-07-09,William Owens,krodriguez@example.net,919.995.2789,"16704 Timothy Fall Mccarthyberg, NH 73990",Snowfurt,3,4570.93,completo,fallido,200.27.82.101,2025-07-09T13:25:50.203142,promo aplicada
bba86788-e40a-4166-89da-b33deef1a7be,2025-07-09,Lydia Arnold,diane48@example.com,(745)522-4822x69252,"739 Ashley Underpass Suite 048 Thompsonchester, WA 24836",Reidton,3,1627.31,completo,exitoso,111.167.36.204,2025-07-09T13:25:50.204141,
a43833d8-2e29-4c01-b5b5-ed2dd520d36d,2025-07-09,Douglas Anderson,smithcody@example.net,001-386-956-0278x086,"8528 Melissa Village Suite 496 East Shelbybury, MO 25465",Abbottberg,3,7840.74,fraccionado,fallido,15.57.37.102,2025-07-09T13:25:50.205163,
e2ada4fd-dc22-480a-8275-8da14ea459da,2025-07-09,Alexandria Ingram,margaretboone@example.net,541-550-6417,"8262 Baldwin Lakes Suite 811 Bettyhaven, AZ 57833",New Michelle,2,8621.35,fraccionado,fallido,83.122.161.37,2025-07-09T13:25:50.205163,
786d5f06-6947-4369-a06e-64bdbf6eed9d,2025-07-09,Daniel Baker,colerobert@example.net,9409043540,"15579 Ashley Hollow West Alexandramouth, PR 34247",Myersview,5,9127.86,completo,fallido,202.96.79.214,2025-07-09T13:25:50.206157,
0e4c663b-1bf7-4d08-beff-e4bb4186b676,2025-07-09,Haley Smith,kreyes@example.org,001-636-552-7098x66792,"61830 Griffin Rue New Brian, GU 66298",South Russellfort,5,4662.88,fraccionado,exitoso,90.134.46.194,2025-07-09T13:25:50.206157,
6662e51d-9efc-4620-9e82-779b633218ce,2025-07-09,Juan Hardy,stevevelez@example.net,(531)896-9889x976,"12855 Rivers Brooks New Robertville, VT 46564",South Richard,2,1117.56,completo,exitoso,85.13.131.133,2025-07-09T13:25:50.207140,promo aplicada
7cb75840-852b-488d-831c-662e4d446f3f,2025-07-09,James Reyes,hernandezsusan@example.org,+1-648-653-9298x052,"8466 Timothy Spurs Morrowborough, DE 89780",Bartonchester,4,1045.7,fraccionado,fallido,14.112.83.97,2025-07-09T13:25:50.208141,cliente frecuente
6474f305-ce58-4eb2-9665-b5314f8b1d16,2025-07-09,Eric Ward,gonzalesjoel@example.net,+1-810-870-0589,"1465 Edwards Lake South Zoeside, PA 48797",Lake Keith,4,1007.1,fraccionado,fallido,209.17.161.133,2025-07-09T13:25:50.208141,
e9159aca-2df2-462e-ad6d-568acc5b3c60,2025-07-09,Jimmy Hall,ann55@example.org,001-660-594-6461x99045,"84111 Lauren Plaza Suite 550 East Courtneytown, AK 80085",Anitaville,1,6772.34,fraccionado,fallido,191.253.84.30,2025-07-09T13:25:50.209140,
